Date,Transcript,Summary,Sentiment,Keywords,Word Count,Processing Time,Title,Meeting Title
28-07-2026 20:32:20, He begins teaching Practicingilo much The κάν Right,"He begins teaching Practicing The Right very much The κάν Right. He also teaches Practicing the Right to get it right for you and your family. He will also be teaching the right way to do it for you, your family and friends.",😊 Positive,"begins teaching Practicingilo, teaching Practicingilo, begins teaching, Practicingilo, begins",8.0,17.04,,
29-07-2026 23:34,,Disargaweb prepare the final presentation by Friday. Raul should review the documentation before submission. The team must test the website and fix all the bugs. Priya will send the project report to the guide tomorrow. We need to complete the project before Monday.,😊 Positive,"Good morning, presentation by Friday, Good, project, Today we discuss",,4.13,We need to complete the project before Monday.,
29-07-2026 23:34,,Disargaweb prepare the final presentation by Friday. Raul should review the documentation before submission. The team must test the website and fix all the bugs. Priya will send the project report to the guide tomorrow. We need to complete the project before Monday.,😊 Positive,"Good morning, presentation by Friday, Good, project, Today we discuss",,3.67,We need to complete the project before Monday.,
29-07-2026 23:42,,Disargaweb prepare the final presentation by Friday. Raul should review the documentation before submission. The team must test the website and fix all the bugs. Priya will send the project report to the guide tomorrow. We need to complete the project before Monday.,😊 Positive,"Good morning, presentation by Friday, Good, project, Today we discuss",,4.05,We need to complete the project before Monday.,
30-07-2026 00:02,,Disargaweb prepare the final presentation by Friday. Raul should review the documentation before submission. The team must test the website and fix all the bugs. Priya will send the project report to the guide tomorrow. We need to complete the project before Monday.,😊 Positive,"Good morning, presentation by Friday, Good, project, Today we discuss",,4.34,We need to complete the project before Monday.,
30-07-2026 00:12,,Disargaweb prepare the final presentation by Friday. Raul should review the documentation before submission. The team must test the website and fix all the bugs. Priya will send the project report to the guide tomorrow. We need to complete the project before Monday.,😊 Positive,"Good morning, presentation by Friday, Good, project, Today we discuss",,3.64,We need to complete the project before Monday.,
30-07-2026 00:19,,Disargaweb prepare the final presentation by Friday. Raul should review the documentation before submission. The team must test the website and fix all the bugs. Priya will send the project report to the guide tomorrow. We need to complete the project before Monday.,😊 Positive,"Good morning, presentation by Friday, Good, project, Today we discuss",,4.13,We need to complete the project before Monday.,
30-07-2026 00:19,,Disargaweb prepare the final presentation by Friday. Raul should review the documentation before submission. The team must test the website and fix all the bugs. Priya will send the project report to the guide tomorrow. We need to complete the project before Monday.,😊 Positive,"Good morning, presentation by Friday, Good, project, Today we discuss",,3.85,We need to complete the project before Monday.,
30-07-2026 00:25,,Disargaweb prepare the final presentation by Friday. Raul should review the documentation before submission. The team must test the website and fix all the bugs. Priya will send the project report to the guide tomorrow. We need to complete the project before Monday.,😊 Positive,"Good morning, presentation by Friday, Good, project, Today we discuss",,6.04,We need to complete the project before Monday.,
30-07-2026 01:23:39, Good morning everyone. Today we discuss the internship project. Disargaweb prepare the final presentation by Friday. Raul should review the documentation before submission. The team must test the website and fix all the bugs. Priya will send the project report to the guide tomorrow. We need to complete the project before Monday. Thank you everyone. More R&B can do everything. Help everyone.,Disargaweb prepare the final presentation by Friday. Raul should review the documentation before submission. The team must test the website and fix all the bugs. Priya will send the project report to the guide tomorrow. We need to complete the project before Monday.,😊 Positive,"Good morning, presentation by Friday, Good, project, Today we discuss",,4.6,,We need to complete the project before Monday.
31-07-2026 01:16:18, Good morning everyone. Today we discuss the internship project. Disargaweb prepare the final presentation by Friday. Raul should review the documentation before submission. The team must test the website and fix all the bugs. Priya will send the project report to the guide tomorrow. We need to complete the project before Monday. Thank you everyone. More R&B can do everything. Help everyone.,,😊 Positive,"Good morning, presentation by Friday, Good, project, Today we discuss",,4.99,,Internship Project Status and Action Items
31-07-2026 01:19:29, Good morning everyone. Today we discuss the internship project. Disargaweb prepare the final presentation by Friday. Raul should review the documentation before submission. The team must test the website and fix all the bugs. Priya will send the project report to the guide tomorrow. We need to complete the project before Monday. Thank you everyone. More R&B can do everything. Help everyone.,,😊 Positive,"Good morning, presentation by Friday, Good, project, Today we discuss",,5.12,,Internship Project Status and Action Items
31-07-2026 01:31:26, Good morning everyone. Today we discuss the internship project. Disargaweb prepare the final presentation by Friday. Raul should review the documentation before submission. The team must test the website and fix all the bugs. Priya will send the project report to the guide tomorrow. We need to complete the project before Monday. Thank you everyone. More R&B can do everything. Help everyone.,,😊 Positive,"Good morning, presentation by Friday, Good, project, Today we discuss",,5.24,,Internship Project Status and Action Items
31-07-2026 01:47:32, Good morning everyone. Today we discuss the internship project. Disargaweb prepare the final presentation by Friday. Raul should review the documentation before submission. The team must test the website and fix all the bugs. Priya will send the project report to the guide tomorrow. We need to complete the project before Monday. Thank you everyone. More R&B can do everything. Help everyone.,,😊 Positive,"Good morning, presentation by Friday, Good, project, Today we discuss",,4.48,,Internship Project Status and Action Items
03-08-2026 20:56:04, Good morning everyone. Today we discuss the internship project. Disargaweb prepare the final presentation by Friday. Raul should review the documentation before submission. The team must test the website and fix all the bugs. Priya will send the project report to the guide tomorrow. We need to complete the project before Monday. Thank you everyone. More R&B can do everything. Help everyone.,,😊 Positive,"Good morning, presentation by Friday, Good, project, Today we discuss",,19.81,,Internship Project Status and Action Items
04-08-2026 00:16:22, Good morning everyone. Today we discuss the internship project. Disargaweb prepare the final presentation by Friday. Raul should review the documentation before submission. The team must test the website and fix all the bugs. Priya will send the project report to the guide tomorrow. We need to complete the project before Monday. Thank you everyone. More R&B can do everything. Help everyone.,,😊 Positive,"Good morning, presentation by Friday, Good, project, Today we discuss",,4.78,,Internship Project Sync and Action Items
04-08-2026 00:51:30, Good morning everyone. Today we discuss the internship project. Disargaweb prepare the final presentation by Friday. Raul should review the documentation before submission. The team must test the website and fix all the bugs. Priya will send the project report to the guide tomorrow. We need to complete the project before Monday. Thank you everyone. More R&B can do everything. Help everyone.,,😊 Positive,"Good morning, presentation by Friday, Good, project, Today we discuss",,3.39,,Internship Project Status & Action Items
06-08-2026 01:16:52,Good morning everyone. Today we discuss the internship project. Disargaweb prepare the final presentation by Friday. Raul should review the documentation before submission. The team must test the website and fix all the bugs. Priya will send the project report to the guide tomorrow. We need to complete the project before Monday. Thank you everyone. More R&B can do everything. Help everyone.,,😊 Positive,"Good morning, presentation by Friday, Good, project, Today we discuss",,7.49,,Internship Project Update and Task Review
